ServiceNo,Direction,StopSequence,BusStopCode
101,1,38,63059
101,1,39,63049
101,1,40,63039
101,1,41,63029
101,1,42,63019
101,1,43,62149
101,1,44,62189
101,1,46,66009
102,1,1,64009
102,1,2,64041
102,1,3,64051
102,1,4,64061
102,1,5,64401
102,1,6,67739
102,1,7,67729
102,1,8,67719
102,1,9,67609
102,1,10,67619
102,1,11,67341
102,1,12,67199
102,1,13,67189
102,1,14,67409
102,1,15,67399
102,1,16,67389
102,1,17,67549
102,1,18,67559
102,1,19,67569
102,1,20,67579
102,1,21,68031
102,1,22,68051
102,1,23,68111
102,1,24,68099
102,1,25,68209
102,1,26,68239
102,1,27,68201
102,1,28,68091
102,1,29,68119
102,1,30,68059
102,1,31,68049
102,1,32,68039
102,1,33,67571
102,1,34,67561
102,1,35,67551
102,1,36,67541
102,1,37,67381
102,1,38,67391
102,1,39,67401
102,1,40,67181
102,1,41,67191
102,1,42,67349
102,1,43,67611
102,1,44,67601
102,1,45,67711
102,1,46,67721
102,1,47,67731
102,1,48,64409
102,1,49,64069
102,1,50,64059
102,1,51,64049
102,1,52,64009
103,1,1,66009
103,1,2,62131
103,1,3,62141
103,1,4,63141
103,1,5,63361
103,1,6,63181
103,1,7,63191
103,1,8,63201
103,1,9,63211
103,1,10,64101
103,1,11,64111
103,1,12,64121
103,1,13,67079
103,1,14,67069
103,1,15,67059
103,1,16,67049
103,1,17,67081
103,1,18,68011
103,1,19,68021
103,1,20,68031
103,1,21,68051
103,1,22,68111
103,1,23,68061
103,1,24,68091
103,1,25,68081
103,1,26,68101
103,1,27,68121
103,1,28,68161
103,1,29,68131
103,1,30,68141
103,1,31,68151
103,1,32,68171
103,1,33,59779
103,1,34,59789
103,1,35,59461
103,1,36,59459
103,1,37,59709
103,1,38,59349
103,1,39,58991
103,1,40,59009
103,2,1,59009
103,2,2,59069
103,2,3,59341
103,2,4,59701
103,2,5,59651
103,2,6,59451
103,2,7,59469
103,2,8,59781
103,2,9,59771
103,2,10,68179
103,2,11,68159
103,2,12,68149
103,2,13,68139
103,2,14,68169
103,2,15,68129
103,2,16,68109
103,2,17,68089
103,2,18,68099
103,2,19,68069
103,2,20,68119
103,2,21,68059
103,2,22,68049
103,2,23,68039
103,2,24,68029
103,2,25,68019
103,2,26,67089
103,2,27,67041
103,2,28,67051
103,2,29,67061
103,2,30,67071
103,2,31,64129
103,2,32,64119
103,2,33,64109
103,2,34,63219
103,2,35,63209
103,2,36,63199
103,2,37,63189
103,2,38,63179
103,2,39,63369
103,2,40,63149
103,2,41,62149
103,2,42,62189
103,2,44,66009
105,1,1,66009
105,1,2,66419
105,1,3,66409
105,1,4,66399
105,1,5,66029
105,1,6,66019
105,1,7,52069
105,1,8,52059
105,1,9,52361
105,1,10,52279
105,1,11,52239
105,1,12,52189
105,1,13,52079
105,1,14,51099
105,1,15,40249
105,1,16,40239
105,1,17,40229
105,1,18,40219
105,1,19,40209
105,1,20,40199
105,1,21,09219
105,1,22,09111
105,1,23,09121
105,1,24,09131
105,1,25,09141
105,1,26,13011
105,1,27,13021
105,1,28,11201
105,1,29,11211
105,1,30,11221
105,1,31,11089
105,1,32,11079
105,1,33,11069
105,1,34,11161
105,1,35,11171
105,1,36,11181
105,1,37,11191
105,1,38,19011
105,1,39,19021
105,1,40,19031
105,1,41,19041
105,1,42,17151
105,1,43,17161
105,1,44,17171
105,1,45,17181
105,1,46,20101
105,1,47,28011
105,1,48,28021
105,1,49,28031
105,1,50,28041
105,1,51,28659
105,1,52,28649
105,1,53,28639
105,1,54,28319
105,1,55,28449
105,1,56,28211
105,1,57,28009
105,2,1,28009
105,2,2,28441
105,2,3,28311
105,2,4,28631
105,2,5,28641
105,2,6,28651
105,2,7,28049
105,2,8,28039
105,2,9,28029
105,2,10,28019
105,2,11,20109
105,2,12,17189
105,2,13,17179
105,2,14,17169
105,2,15,17159
105,2,16,19049
105,2,17,19039
105,2,18,19029
105,2,19,19019
105,2,20,11199
105,2,21,11189
105,2,22,11179
105,2,23,11169
105,2,24,11061
105,2,25,11071
105,2,26,11081
105,2,27,11229
105,2,28,11219
105,2,29,11209
105,2,30,13029
105,2,31,13019
105,2,32,09149
105,2,33,09159
105,2,34,09169
105,2,35,09179
105,2,36,09213
105,2,37,40191
105,2,38,40201
105,2,39,40211
105,2,40,40221
105,2,41,40231
105,2,42,51091
105,2,43,51101
105,2,44,52071
105,2,45,52181
105,2,46,52231
105,2,47,52271
105,2,48,52369
105,2,49,52051
105,2,50,52061
105,2,51,66011
105,2,52,66021
105,2,53,66391
105,2,54,66401
105,2,55,66411
105,2,56,66389
105,2,57,66009
105B,1,1,28009
105B,1,2,28441
105B,1,3,28311
105B,1,4,28631
105B,1,5,28641
105B,1,6,28651
105B,1,7,28049
105B,1,8,28039
105B,1,9,28029
105B,1,10,28019
105B,1,11,20109
105B,1,12,17189
105B,1,13,17179
106,1,1,43009
106,1,2,43179
106,1,3,43189
106,1,4,43619
106,1,5,43629
106,1,6,42319
106,1,7,28109
106,1,8,28189
106,1,9,28019
106,1,10,20109
106,1,11,17189
106,1,12,17179
106,1,13,17169
106,1,14,17159
106,1,15,19049
106,1,16,19039
106,1,17,19029
106,1,18,19019
106,1,19,11199
106,1,20,11189
106,1,21,11401
106,1,22,11239
106,1,23,11229
106,1,24,11219
106,1,25,11209
106,1,26,13029
106,1,27,13019
106,1,28,09149
106,1,29,09159
106,1,30,09169
106,1,31,09179
106,1,32,09048
106,1,33,09038
106,1,34,08138
106,1,35,08057
106,1,36,08069
106,1,37,04179
106,1,38,02049
106,1,39,02151
106,1,40,02161
106,1,41,02171
106,1,42,03509
106,1,43,03519
106,1,44,03539
106,1,45,03529
106,1,46,03129
106,1,47,03218
106,2,1,03239
106,2,2,03222
106,2,3,03111
106,2,4,03071
106,2,5,03381
106,2,6,03391
106,2,7,03511
106,2,8,03501
106,2,9,02051
106,2,10,02061
106,2,11,04111
106,2,12,04121
106,2,13,08041
106,2,14,08031
106,2,15,08111
106,2,16,08121
106,2,17,09059
106,2,18,09022
106,2,19,09111
106,2,20,09121
106,2,21,09131
106,2,22,09141
106,2,23,13011
106,2,24,13021
106,2,25,11201
106,2,26,11211
106,2,27,11221
106,2,28,11231
106,2,29,11419
106,2,30,11409
106,2,31,11181
106,2,32,11191
106,2,33,19011
106,2,34,19021
106,2,35,19031
106,2,36,19041
106,2,37,17151
106,2,38,17161
106,2,39,17171
106,2,40,17181
106,2,41,20101
106,2,42,28011
106,2,43,28181
106,2,44,28101
106,2,45,42311
106,2,46,43621
106,2,47,43611
106,2,48,43181
106,2,49,43171
106,2,50,43009
106A,1,1,43009
106A,1,2,43179
106A,1,3,43189
106A,1,4,43619
106A,1,5,43629
106A,1,6,42319
106A,1,7,28109
106A,1,8,28189
106A,1,9,28019
106A,1,10,20109
106A,1,11,17189
106A,1,12,17179
107,1,1,64009
107,1,2,64391
107,1,3,63351
107,1,4,63341
107,1,5,63059
107,1,6,63049
107,1,7,63039
107,1,8,63029
107,1,9,63019
107,1,10,62149
107,1,11,62139
107,1,12,62129
107,1,13,62119
107,1,14,61049
107,1,15,61039
107,1,16,61111
107,1,17,61019
107,1,18,60269
107,1,19,60209
107,1,20,60179
107,1,21,60221
107,1,22,60039
107,1,23,60029
107,1,24,60019
107,1,25,07369
107,1,26,07379
107,1,27,01319
107,1,28,01219
107,1,29,01239
107,1,30,01529
107,1,31,01519
107,1,32,01629
107,1,33,01619
107,1,34,02029
107,1,35,03019
107,1,36,03059
107,1,37,03129
107,1,38,03218
107,1,39,03239
107,2,1,03239
107,2,2,03222
107,2,3,03111
107,2,4,03031
107,2,5,03011
107,2,6,02111
107,2,7,01611
107,2,8,01621
107,2,9,01511
107,2,10,01521
107,2,11,01231
107,2,12,01211
107,2,13,01311
107,2,14,07371
107,2,15,60011
107,2,16,60021
107,2,17,60031
107,2,18,60229
107,2,19,60159
107,2,23,60161
107,2,24,60201
107,2,25,60261
107,2,26,61119
107,2,27,61031
107,2,28,61041
107,2,29,62111
107,2,30,62121
107,2,31,62131
107,2,32,62141
107,2,33,63011
107,2,34,63021
107,2,35,63031
107,2,36,63041
107,2,37,63051
